gene	veg exp fp rpkm 	0hr fp rpkm	1.5hr fp rpkm	3hr fp rpkm	4.5hr fp rpkm	6hr fp rpkm	8hr fp rpkm	10hr fp rpkm	spore fp rpkm	MATa/a fp rpkm
Q0010	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	3.409873496	0	0	2.499234659	1.263640211
Q0045	1.517260109	1.660563521	0	0.115528569	0.150503106	2.039302984	0.493147209	0.216902567	0.373671978	0.94466307
Q0050	3.115968229	8.394505164	0.351392235	0.511019006	0.190206379	1.610799136	0.207747086	0.685305658	0.472248022	1.671416132
Q0055	0.350923184	10.75388891	0.342975654	0.142508294	0	1.100551985	0.202771108	0	0.921873383	0.116527301
Q0060	4.439709977	426.5153211	19.04409851	2.253682305	2.153030538	5.304247661	3.634262468	1.692497307	5.345585244	7.616942383
Q0065	2.546425834	75.64531684	2.666523942	0.443182219	0.288674486	2.689164666	1.418831355	0.416032858	4.300359079	1.449538864
Q0070	2.891653209	97.75611816	7.693447859	0.685000806	0.509928285	2.806976455	1.949337377	0.734900146	3.165149157	4.160867932
Q0075	2.047051906	15.36269845	1.429065226	0.534406103	1.160315859	3.537488522	0.506927769	0.668891151	0	1.456591261
Q0080	6.73611169	73.72329427	9.875333494	0	0	4.526901021	2.919204741	0	6.635898923	0
Q0085	0	0	0	0	0	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0	0	0
Q0105	1.86807469	1.168292641	0.260823927	0	0	0.358688879	0.925212432	0.305204432	0	0.797543412
Q0110	0	4.454115696	0	0.103293772	0	0	0	0	0	0
Q0115	2.549712959	37.77948735	1.725208863	0.119472315	0.155640762	1.581688309	0.849969252	0	4.637134187	3.712260299
Q0120	0.316095856	1.383802935	0.617874156	0	0.125419255	0.637282183	0.410956007	0.361504279	0.934179945	0.31488769
Q0130	0	0	0	0	0	0	0	0	0	1.707022741
Q0140	0	0	0	0.324235492	0.211196456	0	0	0.913118438	0.524362585	0.265123423
Q0142	0.757159841	0	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0.842490211	0	0	0	0	0
Q0160	655.6793901	97317.47893	19215.17398	6204.23714	2646.792208	22955.18155	22738.61825	10976.55024	6301.554071	19183.02368
Q0182	0	12.33447423	0.917899588	1.14417717	0.745279802	12.62308939	0	3.222254488	9.25197446	15.90485612
Q0250	2.526041884	1.843082357	0	0	0	0	0	0	3.317949462	0.419397829
Q0255	0.216571218	5.688626698	0.634999271	0	0.687442123	1.455433809	0.938546979	0.495365065	0.853397201	1.510204155
Q0275	4.688333736	27.36608683	3.436616056	0.713966554	0.620072795	0	1.01588325	0.893638578	0	4.67041422
YAL001C	27.82114491	33.72792253	82.91183444	58.7150409	60.45845613	159.0088862	172.1332997	106.0265754	84.33000384	60.29036762
YAL002W	9.572792987	7.154977882	12.7789176	10.61942285	9.696357452	7.322397668	10.4556377	21.89592532	23.00092455	21.16572181
YAL003W	22649.36937	2711.134932	2541.410071	2533.695139	2070.894714	3021.537877	4571.474625	6515.12434	7532.839495	4004.321235
YAL004W	0	0	0	0	0	0	0	0	0	0
