gene	vegrepl1-mrna-Jan2017-rpkm	0hr mrna rpkm	1.5 hr mrna rpkm	3hr mrna rpkm	4.5hr mrna rpkm	6hr mrna rpkm	8hr mrna rpkm	10hr mrna rpkm	spore mrna rpkm	MATa/a mrna rpkm
Q0010	0	0	0	1.128199818	0.845162395	0.960393023	0	3.402132064	0	0
Q0017	0	0	7.743105082	2.005688566	3.00502185	1.707365374	0	18.14470434	45.14121375	0
Q0032	0	0	1.357557385	2.813173573	1.58056344	0	2.478225478	5.302023997	0.989296081	0
Q0045	118.1005363	526.089717	149.7952542	164.1432155	34.89618092	19.96125615	24.54766547	270.4794082	86.67770436	16.43318114
Q0050	176.5010158	492.1947997	111.9709999	153.6234393	73.370466	34.56000807	38.39881145	268.5972829	105.2441089	27.50090039
Q0055	33.52973121	155.9312066	33.80074015	54.21844588	15.93561288	7.618734592	7.427256596	76.66409213	22.53343971	6.45994763
Q0060	239.4600777	4390.371444	1203.172942	1312.951086	250.168069	143.4186914	138.057811	1293.428754	263.3451206	52.84146033
Q0065	178.5826541	1558.774731	369.4629079	461.2635503	92.84510246	58.97564306	49.48259428	591.1727136	130.6478774	25.11199381
Q0070	210.1281429	2285.305145	590.5709547	630.6043195	149.7271907	72.18111772	91.09618545	829.135396	236.1700323	33.95759109
Q0075	274.9181026	2962.884018	740.799555	668.813066	202.7175144	92.61179187	156.543716	990.8149406	449.9845804	45.94359306
Q0080	122.0652323	2332.905865	483.009555	619.9652519	106.3156006	23.84424057	47.70584044	701.0738351	173.3656097	28.86237006
Q0085	0.446956027	2.659365962	0.871099322	1.353839782	0.338064958	1.152471628	0.993871676	5.78362451	0.952197478	0.387504042
Q0092	0	0	0	0	0	0	0	0	0	0
Q0105	16.11972558	89.80809644	34.84397287	23.37777984	7.204663041	6.0457528	7.168910449	56.88810993	18.10736187	3.55741416
Q0110	25.32750822	342.3933677	70.59534087	103.0422501	13.31130773	4.481834107	7.619682849	94.8344313	16.26670691	4.520880495
Q0115	62.68154409	724.1165151	226.0660168	262.9385215	21.01705041	14.34804034	12.93230614	278.728892	26.30971344	11.01818723
Q0120	25.16839766	152.3326134	71.21025524	56.95766073	12.47229943	8.951235942	9.958015238	87.72876469	24.8988855	2.708766122
Q0130	9.409600577	27.99332592	5.501679927	16.15107108	2.846862805	1.617504039	2.510833708	11.45981327	8.018505074	3.263191936
Q0140	6.722608369	80.86791319	6.551046671	8.263218288	1.21592846	1.004879893	0.259977332	12.01406854	2.698325277	1.520451829
Q0142	0	0	0.81032495	4.197952813	0.628958062	1.07206663	0.369812717	3.164774013	1.771530191	0
Q0143	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0.588625992	0	0	0	4.437563562	0	1.010880111
Q0160	2624.625117	37986.08792	8461.762023	7520.329278	1967.538056	2252.44177	1663.520325	7995.010351	1881.119017	478.3522124
Q0182	22.6916137	797.8097887	177.9052846	302.0104129	15.99307302	15.95729946	10.09162009	362.7196186	30.03084352	9.836641077
Q0250	31.90341299	33.01281884	12.1653526	26.37653368	6.120141483	6.358464152	2.878800716	38.0100272	8.86528686	4.008662508
Q0255	29.25530361	3133.924217	278.8290423	136.8849092	26.35557412	20.23852614	21.57869501	179.9584535	50.50235845	14.43474038
Q0275	39.04607856	343.3773331	84.04366256	128.8855473	26.12565996	16.96438236	13.16681196	140.4400116	53.93246513	8.556089257
YAL001C	108.6796496	253.6769425	175.4413884	162.4133123	114.5924656	126.9435882	207.7566356	196.6497931	108.6222819	60.72368343
YAL002W	34.5313597	61.28196306	64.46829084	64.94115927	31.06426372	19.06399282	18.93028569	40.07738681	52.68573135	25.26958632
YAL003W	11133.19916	4717.262559	1704.759907	1781.019441	1575.886206	2289.495231	3622.345066	3156.165155	7324.627149	20127.78444
YAL004W	0	0	0	0	0.206978546	0	0	0.4165876	0	0.474494746
YAL005C	342.6423735	9433.876648	2684.440074	3346.831019	2293.415311	1390.51344	732.8168428	1780.729439	1569.490443	463.3627792
YAL007C	854.8718141	97.69099454	494.3933089	341.4991777	253.34174	146.0581389	56.22474052	157.0535251	164.3998094	784.3398149
YAL008W	185.1746313	1937.92009	365.5697265	602.6477868	538.0332138	387.3334811	424.5553287	408.7119995	633.6634834	223.9297103
YAL009W	244.931903	175.5181535	138.0692425	187.7324498	151.9601987	106.4115469	74.34160136	96.96076384	202.5006636	187.5519565
YAL010C	80.33893151	117.820011	61.08721826	66.83512848	45.78854496	35.69258121	18.41807764	34.62423012	53.19449199	44.93084847
YAL011W	60.71521482	244.8723114	120.5739457	102.9454409	88.56632467	42.21925764	87.30326246	102.9397583	165.298968	66.14425437
YAL012W	693.6757546	737.8144926	432.0652636	312.7911432	252.9266791	212.0547795	122.3813827	356.4345721	1421.541962	1056.243019
YAL013W	148.3000099	807.3835062	404.538525	332.2322825	365.2115742	218.8543621	330.2436805	261.0796146	389.0678893	270.4003208
YAL014C	184.5398106	654.4744708	357.003078	369.8965642	306.1493341	212.5235815	331.1108756	297.196418	231.7551827	230.5320659
YAL015C	183.7694993	205.7509455	109.7585145	110.017296	99.49785504	60.53508865	41.30321449	78.64296856	144.7340166	209.9864011
YAL016C-A	0	0	6.148936389	1.274202148	2.863609057	0	0	0	2.688557584	0
YAL016C-B	0	0	0	0	0	1.097592026	0	0	0	0
YAL016W	500.8229357	2827.562225	390.4674427	531.513982	328.2303411	228.3240867	248.8293269	312.421764	496.7502944	396.9148549
YAL017W	77.50357921	642.0668158	153.8659804	219.6926545	145.6131998	88.26708651	97.87368761	170.3865094	140.3868113	42.50081734
YAL018C	2.453876229	17.72910642	13.66430309	226.5248263	7576.764871	5469.645409	2685.402293	2883.673821	106.7954818	6.990269001
YAL019W	136.8843028	96.4259313	89.77336535	78.16233274	65.1565484	48.58621394	55.4709098	69.6825179	91.72607355	79.45226769
YAL019W-A	0.630996745	0	2.459574556	1.274202148	10.0226317	11.66030117	5.051206635	2.401504987	0.896185861	2.188258122
YAL020C	184.1344959	117.8929115	174.7747047	151.0781719	113.1763962	71.05684939	45.73075788	93.87284142	192.3802802	253.5313073
YAL021C	158.9371262	291.0347689	260.0519002	155.3771134	85.20228822	32.17903664	23.44467953	109.300771	102.343768	53.43576527
YAL022C	237.5867461	68.56678506	135.3877259	100.8039741	72.90798494	55.63336933	64.66153072	83.45470944	181.4146519	134.8327319
YAL023C	418.7857178	407.0986165	976.949661	485.918711	287.9217016	132.6899766	62.92013551	245.6155452	227.1891711	272.9704152
YAL024C	34.77166383	11.94460983	72.41935887	51.78245946	37.18714539	22.52854142	11.3537205	26.17911792	39.21762492	22.59345603
YAL025C	788.636001	511.4878088	99.06857792	119.6284908	88.34450125	129.6229412	223.5691826	204.839171	875.3581271	694.7528923
YAL026C	95.22572129	124.6876376	99.83737137	95.57946725	227.1917979	165.3141188	146.1169903	206.694802	54.68008269	47.68388067
YAL026C-A	122.5936532	159.5619577	142.6943651	223.0612212	414.049082	349.7659924	325.6112919	450.3774828	138.4464904	53.88151447
YAL027W	135.6382258	249.2331406	77.75101384	130.6846996	141.9872824	144.7732954	141.7376003	124.163762	118.3557856	104.5300161
YAL028W	13.90920133	197.4931894	143.5516918	136.3947034	118.1168412	68.92187886	119.1240142	120.952813	116.1344193	27.77239188
YAL029C	126.034212	124.6165703	53.92176793	69.92974081	104.3251697	67.30688293	26.67847276	59.49513594	57.39416201	74.55449676
YAL030W	309.7678917	1510.954049	807.4557387	1191.379008	1907.928235	1338.278278	685.893155	760.6889571	1041.587445	840.8046896
YAL031C	81.35685422	217.0559425	149.6739078	173.5692028	127.9993315	73.47201037	69.9170617	113.0554655	91.59600027	43.80207638
YAL031W-A	0	0	0	0	0	0	0.574769162	0	0	0
YAL032C	108.1633586	513.2576308	233.4546182	237.9749484	154.9464391	132.4061848	176.2465772	148.1061492	205.4630557	134.5930707
YAL033W	342.0084303	60.09476331	108.6045908	136.790565	109.8491591	127.2208939	129.177503	88.54380074	205.2789367	417.9004634
YAL034C	33.48766987	5787.158315	598.5380924	514.3216715	315.8933883	182.2894209	108.8516512	244.7462722	485.4757088	41.30753752
YAL034C-B	0	0	0	1.657762998	7.451227648	5.174362409	0.48679429	0.833175199	0.777304063	0
YAL034W-A	83.43179179	61.46090224	217.5812528	196.7580483	251.6705799	177.0537893	178.9852458	144.2503995	90.00029491	123.3123975
YAL035W	617.8370569	798.1347622	306.570189	286.9809461	208.9117507	85.25003974	90.84513404	241.8770389	561.4668303	515.0094459
YAL036C	738.9332449	341.9184809	128.126266	153.1773011	122.3988328	108.0030554	136.1660989	167.268253	516.4719118	774.2995061
YAL037C-A	0	0	28.50870508	24.61526876	33.19183225	37.71725326	4.336894586	0	6.925072564	0
YAL037C-B	0	0	0.342727602	1.775527583	0.532036655	0.45343146	0.156412592	0.535417505	0.249756715	0
YAL037W	31.57528065	14.1546898	99.47392255	86.90777956	77.70041376	53.3482834	19.04386373	32.5946201	50.68147864	24.75025819
YAL038W	9571.735234	22197.35726	708.2526461	744.0770993	894.0939595	1832.549687	2802.346199	3202.898684	17149.21514	11626.47472
YAL039C	537.2053885	564.2110826	408.9288656	405.2854772	345.6376132	320.6637056	391.7603617	375.2687752	1212.414004	656.9588534
YAL040C	99.81221233	515.3765908	63.35267795	38.3225949	32.32407193	22.92617355	23.13010446	42.20826946	179.9161009	73.27349166
YAL041W	117.6752252	197.2071142	128.3176246	137.6863165	91.96986333	62.05404117	54.79030058	94.26554185	103.088206	70.39115348
YAL042C-A	0	0	7.889201405	5.108829366	1.530860188	0	2.700330591	6.932646471	0	0
YAL042W	865.740281	743.816601	577.8292168	465.6388341	291.1456397	156.2239317	135.6484251	210.932188	364.7204884	746.1214199
YAL043C	115.5317147	336.6215714	215.3412109	157.0171361	236.4159749	250.1134248	166.2230916	182.2761096	147.8765169	95.42919395
YAL044C	3289.122766	3476.548616	3072.269237	3473.361136	3907.40404	3426.275252	2394.454071	2411.142815	3646.348804	3772.390347
YAL044W-A	380.7475961	1202.851681	484.7524138	526.6585526	606.2879249	542.5481816	536.297525	415.4339725	839.6079736	628.5230403
YAL045C	3.877208913	0	6.297103531	3.914717442	2.443843071	0.555408013	1.724307486	0.983749031	5.506684207	3.36148085
YAL046C	396.5718934	261.1013854	300.9252202	312.8874163	294.6287332	325.4859263	353.6978473	266.3972501	305.4726453	924.3732794
YAL047C	50.87738262	36.51666695	67.60770856	73.28247178	42.3842634	32.18511146	40.82290824	49.15319162	56.46862653	33.46801083
