Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cellular_state,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,molecule_subtype,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background
SRR6441591,RNA-Seq,50,1025606150,PRJNA428526,SAMN08294581,414906258,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532852,GSM2913137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913137,yeast cells,SRP128065,SK1
SRR6441592,RNA-Seq,50,56223800,PRJNA428526,SAMN08294581,22226330,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532852,GSM2913137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913137,yeast cells,SRP128065,SK1
SRR6441593,RNA-Seq,51,92022054,PRJNA428526,SAMN08294581,40395101,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532852,GSM2913137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913137,yeast cells,SRP128065,SK1
SRR6441594,RNA-Seq,51,93117942,PRJNA428526,SAMN08294581,41083015,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532852,GSM2913137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913137,yeast cells,SRP128065,SK1
SRR6441595,RNA-Seq,51,631754136,PRJNA428526,SAMN08294581,317166078,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532852,GSM2913137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913137,yeast cells,SRP128065,SK1
SRR6441596,RNA-Seq,51,642861273,PRJNA428526,SAMN08294581,323662088,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532852,GSM2913137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913137,yeast cells,SRP128065,SK1
SRR6441597,RNA-Seq,51,858246615,PRJNA428526,SAMN08294580,372916514,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532853,GSM2913138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913138,yeast cells,SRP128065,SK1
SRR6441598,RNA-Seq,51,867286671,PRJNA428526,SAMN08294580,378909991,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532853,GSM2913138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913138,yeast cells,SRP128065,SK1
SRR6441599,RNA-Seq,51,47264250,PRJNA428526,SAMN08294580,28307861,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532853,GSM2913138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913138,yeast cells,SRP128065,SK1
SRR6441600,RNA-Seq,51,47214219,PRJNA428526,SAMN08294580,28467017,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532853,GSM2913138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913138,yeast cells,SRP128065,SK1
SRR6441601,RNA-Seq,50,929801100,PRJNA428526,SAMN08294580,400187624,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532853,GSM2913138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913138,yeast cells,SRP128065,SK1
SRR6441602,RNA-Seq,50,580438900,PRJNA428526,SAMN08294580,225745346,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532853,GSM2913138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913138,yeast cells,SRP128065,SK1
SRR6441603,RNA-Seq,50,737453950,PRJNA428526,SAMN08294579,289571803,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532854,GSM2913139,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913139,yeast cells,SRP128065,SK1
SRR6441604,RNA-Seq,51,1115241123,PRJNA428526,SAMN08294579,487111680,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532854,GSM2913139,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913139,yeast cells,SRP128065,SK1
SRR6441605,RNA-Seq,51,1128600063,PRJNA428526,SAMN08294579,495467165,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532854,GSM2913139,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913139,yeast cells,SRP128065,SK1
SRR6441606,RNA-Seq,51,1254649929,PRJNA428526,SAMN08294582,547546292,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532855,GSM2913140,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913140,yeast cells,SRP128065,SK1
SRR6441607,RNA-Seq,51,1268377905,PRJNA428526,SAMN08294582,556418091,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532855,GSM2913140,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913140,yeast cells,SRP128065,SK1
SRR6441608,RNA-Seq,50,847108600,PRJNA428526,SAMN08294582,332916467,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532855,GSM2913140,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913140,yeast cells,SRP128065,SK1
SRR6441609,RNA-Seq,50,2399709850,PRJNA428526,SAMN08294578,990096574,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532856,GSM2913141,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913141,yeast cells,SRP128065,SK1
SRR6441610,RNA-Seq,50,356473900,PRJNA428526,SAMN08294578,141187729,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532856,GSM2913141,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913141,yeast cells,SRP128065,SK1
SRR6441611,RNA-Seq,51,527071689,PRJNA428526,SAMN08294578,231379651,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532856,GSM2913141,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913141,yeast cells,SRP128065,SK1
SRR6441612,RNA-Seq,51,533188527,PRJNA428526,SAMN08294578,235288506,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532856,GSM2913141,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913141,yeast cells,SRP128065,SK1
SRR6441613,RNA-Seq,51,844911543,PRJNA428526,SAMN08294577,368785300,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532857,GSM2913142,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913142,yeast cells,SRP128065,SK1
SRR6441614,RNA-Seq,51,854074560,PRJNA428526,SAMN08294577,374787242,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532857,GSM2913142,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913142,yeast cells,SRP128065,SK1
SRR6441615,RNA-Seq,50,569770250,PRJNA428526,SAMN08294577,222789888,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532857,GSM2913142,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913142,yeast cells,SRP128065,SK1
SRR6441616,RNA-Seq,51,991380483,PRJNA428526,SAMN08294576,429421799,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532858,GSM2913143,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913143,yeast cells,SRP128065,SK1
SRR6441617,RNA-Seq,51,1003512210,PRJNA428526,SAMN08294576,436685900,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532858,GSM2913143,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913143,yeast cells,SRP128065,SK1
SRR6441618,RNA-Seq,50,666568600,PRJNA428526,SAMN08294576,258741373,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532858,GSM2913143,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913143,yeast cells,SRP128065,SK1
SRR6441619,RNA-Seq,51,831419085,PRJNA428526,SAMN08294575,363354158,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532859,GSM2913144,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913144,yeast cells,SRP128065,SK1
SRR6441620,RNA-Seq,51,840553899,PRJNA428526,SAMN08294575,369109313,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532859,GSM2913144,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913144,yeast cells,SRP128065,SK1
SRR6441621,RNA-Seq,50,570828700,PRJNA428526,SAMN08294575,224933886,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532859,GSM2913144,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913144,yeast cells,SRP128065,SK1
SRR6441622,RNA-Seq,50,1233415000,PRJNA428526,SAMN08294574,539973437,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532860,GSM2913145,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913145,yeast cells,SRP128065,SK1
SRR6441623,RNA-Seq,50,622684650,PRJNA428526,SAMN08294574,263942211,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532860,GSM2913145,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913145,yeast cells,SRP128065,SK1
SRR6441624,RNA-Seq,51,886088433,PRJNA428526,SAMN08294574,405324323,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532860,GSM2913145,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913145,yeast cells,SRP128065,SK1
SRR6441625,RNA-Seq,51,893477670,PRJNA428526,SAMN08294574,410045035,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532860,GSM2913145,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913145,yeast cells,SRP128065,SK1
