Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_Line,genotype/variation,Cell_type,Molecule
SRR12108033,OTHER,76,888215248,PRJNA642794,SAMN15398415,696908792,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632155,GSM4644855,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644855,BJ hTERT cells,SRP269191,BJ hTERT cells,,,
SRR12108035,OTHER,80,1110035258,PRJNA642794,SAMN15398413,869328014,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632157,GSM4644857,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644857,BJ hTERT cells,SRP269191,BJ hTERT cells,,,
SRR12108038,OTHER,53,1432268477,PRJNA642794,SAMN15398410,1122999082,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632160,GSM4644860,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644860,BJ MYC cells,SRP269191,BJ MYC cells,,,
SRR12108040,OTHER,58,691837857,PRJNA642794,SAMN15398408,533282448,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632162,GSM4644862,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644862,BJ MYC cells,SRP269191,BJ MYC cells,,,
SRR12108042,OTHER,53,1123753860,PRJNA642794,SAMN15398402,872141344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632164,GSM4644864,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644864,BJ MYC cells,SRP269191,BJ MYC cells,,,
SRR12108044,OTHER,55,1312190385,PRJNA642794,SAMN15398407,1026211010,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632166,GSM4644866,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644866,BJ MYC cells,SRP269191,BJ MYC cells,,,
SRR12108046,OTHER,64,1125328416,PRJNA642794,SAMN15398405,829047564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632168,GSM4644868,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644868,DLD1 cells,SRP269191,DLD1,,,
SRR12108047,OTHER,71,1041878668,PRJNA642794,SAMN15398404,790473577,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632169,GSM4644869,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644869,DLD1 cells,SRP269191,DLD1,,,
SRR12108048,OTHER,85,1352244971,PRJNA642794,SAMN15398400,1057836837,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632170,GSM4644870,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644870,HCT116 p53-/- cells,SRP269191,HCT116,p53-/-,,
SRR12108049,OTHER,84,1234167055,PRJNA642794,SAMN15398399,971311480,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632171,GSM4644871,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644871,HCT116 p53-/- cells,SRP269191,HCT116,p53-/-,,
SRR12108050,OTHER,85,1706001794,PRJNA642794,SAMN15398398,1337362555,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8632172,GSM4644872,Ion Torrent Proton,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-08-17T00:00:00Z,GSM4644872,HCT116 p53-/- cells,SRP269191,HCT116,p53-/-,,
