transcript cod_idx count
YGR192C 1 9621
YHR174W 1 1173
YLR044C 1 567
YGR192C 2 0
YHR174W 2 1848
YLR044C 2 152
YGR192C 3 7509
YHR174W 3 1220
YLR044C 3 4978
YGR192C 4 0
YHR174W 4 951
YLR044C 4 134
YGR192C 5 1620
YHR174W 5 2208
YLR044C 5 330
YGR192C 6 1369
YHR174W 6 0
YLR044C 6 6269
YGR192C 7 353
YHR174W 7 975
YLR044C 7 6661
YGR192C 8 2465
YHR174W 8 394
YLR044C 8 628
YGR192C 9 859
YHR174W 9 10370
YLR044C 9 3839
YGR192C 10 1820
YHR174W 10 239
YLR044C 10 3597
YGR192C 11 20268
YHR174W 11 608
YLR044C 11 43
YGR192C 12 1119
YHR174W 12 1699
YLR044C 12 408
YGR192C 13 64648
YHR174W 13 29247
YLR044C 13 515
YGR192C 14 1309
YHR174W 14 679
YLR044C 14 836
YGR192C 15 2373
YHR174W 15 6494
YLR044C 15 5092
YGR192C 16 311
YHR174W 16 4766
YLR044C 16 404
YGR192C 17 4454
YHR174W 17 1283
YLR044C 17 417
YGR192C 18 9447
YHR174W 18 64430
YLR044C 18 1244
YGR192C 19 26
YHR174W 19 3342
YLR044C 19 0
YGR192C 20 2836
YHR174W 20 948
YLR044C 20 1285
YGR192C 21 483
YHR174W 21 343
YLR044C 21 397
YGR192C 22 9101
YHR174W 22 310
YLR044C 22 0
YGR192C 23 2658
YHR174W 23 6688
YLR044C 23 434
YGR192C 24 19350
YHR174W 24 2678
YLR044C 24 41659
YGR192C 25 528
YHR174W 25 1791
YLR044C 25 545
YGR192C 26 335
YHR174W 26 1840
YLR044C 26 11822
YGR192C 27 4989
YHR174W 27 1641
YLR044C 27 3026
YGR192C 28 0
YHR174W 28 3410
YLR044C 28 613
YGR192C 29 0
YHR174W 29 8354
YLR044C 29 538
YGR192C 30 779
YHR174W 30 0
YLR044C 30 265
YGR192C 31 21033
YHR174W 31 2328
YLR044C 31 1280
YGR192C 32 1493
YHR174W 32 3307
YLR044C 32 643
YGR192C 33 3584
YHR174W 33 1502
YLR044C 33 201
YGR192C 34 2495
YHR174W 34 25
YLR044C 34 1599
YGR192C 35 309
YHR174W 35 0
YLR044C 35 1835
YGR192C 36 601
YHR174W 36 963
YLR044C 36 6428
YGR192C 37 937
YHR174W 37 409
YLR044C 37 1088
YGR192C 38 19327
YHR174W 38 17533
YLR044C 38 2600
YGR192C 39 9049
YHR174W 39 2561
YLR044C 39 651
YGR192C 40 7758
YHR174W 40 570
YLR044C 40 0
YGR192C 41 3400
YHR174W 41 2636
YLR044C 41 5281
YGR192C 42 3433
YHR174W 42 12032
YLR044C 42 8515
YGR192C 43 5393
YHR174W 43 206
YLR044C 43 2247
YGR192C 44 36955
YHR174W 44 1199
YLR044C 44 35361
YGR192C 45 2307
YHR174W 45 4434
YLR044C 45 8928
YGR192C 46 68930
YHR174W 46 2650
YLR044C 46 80
YGR192C 47 1847
YHR174W 47 1322
YLR044C 47 3872
YGR192C 48 4344
YHR174W 48 1000
YLR044C 48 4983
YGR192C 49 15391
YHR174W 49 2624
YLR044C 49 152
YGR192C 50 645
YHR174W 50 54399
YLR044C 50 5095
YGR192C 51 7634
YHR174W 51 2032
YLR044C 51 436
YGR192C 52 3886
YHR174W 52 693
YLR044C 52 362
YGR192C 53 87311
YHR174W 53 715
YLR044C 53 440
YGR192C 54 16364
YHR174W 54 25559
YLR044C 54 10673
YGR192C 55 3911
YHR174W 55 812
YLR044C 55 715
YGR192C 56 2788
YHR174W 56 1091
YLR044C 56 41234
YGR192C 57 53847
YHR174W 57 51680
YLR044C 57 1089
YGR192C 58 0
YHR174W 58 2420
YLR044C 58 400
YGR192C 59 2902
YHR174W 59 3971
YLR044C 59 22699
YGR192C 60 62083
YHR174W 60 6965
YLR044C 60 1517
YGR192C 61 1419
YHR174W 61 7131
YLR044C 61 1045
YGR192C 62 538
YHR174W 62 0
YLR044C 62 14289
YGR192C 63 5955
YHR174W 63 13059
YLR044C 63 2482
YGR192C 64 7177
YHR174W 64 170
YLR044C 64 365
YGR192C 65 1960
YHR174W 65 1130
YLR044C 65 10046
YGR192C 66 1169
YHR174W 66 209
YLR044C 66 1765
YGR192C 67 3392
YHR174W 67 387
YLR044C 67 16170
YGR192C 68 10097
YHR174W 68 9762
YLR044C 68 879
YGR192C 69 2224
YHR174W 69 299
YLR044C 69 2495
YGR192C 70 14906
YHR174W 70 12628
YLR044C 70 1238
YGR192C 71 12050
YHR174W 71 605
YLR044C 71 458
YGR192C 72 60
YHR174W 72 567
YLR044C 72 11227
YGR192C 73 1830
YHR174W 73 141
YLR044C 73 2620
YGR192C 74 6119
YHR174W 74 13368
YLR044C 74 336
YGR192C 75 5972
YHR174W 75 585
