tx_name	gene_id	gene_name	with_UTRs
ENST00000641515.2	ENSG00000186092.6	OR4F5	TRUE
ENST00000335137.4	ENSG00000186092.6	OR4F5	TRUE
ENST00000420190.6	ENSG00000187634.12	SAMD11	FALSE
ENST00000437963.5	ENSG00000187634.12	SAMD11	FALSE
ENST00000342066.8	ENSG00000187634.12	SAMD11	TRUE
ENST00000616016.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000616125.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000617307.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000618181.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000618323.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000618779.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000620200.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000622503.4	ENSG00000187634.12	SAMD11	TRUE
ENST00000338591.8	ENSG00000187961.14	KLHL17	TRUE
ENST00000622660.1	ENSG00000187961.14	KLHL17	TRUE
ENST00000379410.8	ENSG00000187583.11	PLEKHN1	TRUE
ENST00000379407.7	ENSG00000187583.11	PLEKHN1	TRUE
ENST00000379409.6	ENSG00000187583.11	PLEKHN1	TRUE
ENST00000491024.1	ENSG00000187583.11	PLEKHN1	FALSE
ENST00000624697.4	ENSG00000187608.10	ISG15	TRUE
ENST00000649529.1	ENSG00000187608.10	ISG15	TRUE
ENST00000379370.7	ENSG00000188157.15	AGRN	TRUE
ENST00000620552.4	ENSG00000188157.15	AGRN	TRUE
ENST00000651234.1	ENSG00000188157.15	AGRN	TRUE
ENST00000652369.1	ENSG00000188157.15	AGRN	TRUE
ENST00000379290.6	ENSG00000162571.14	TTLL10	TRUE
ENST00000379288.3	ENSG00000162571.14	TTLL10	TRUE
ENST00000379198.5	ENSG00000176022.7	B3GALT6	TRUE
ENST00000379116.10	ENSG00000162572.21	SCNN1D	TRUE
ENST00000379101.8	ENSG00000162572.21	SCNN1D	TRUE
ENST00000338555.6	ENSG00000162572.21	SCNN1D	TRUE
ENST00000470022.1	ENSG00000162572.21	SCNN1D	FALSE
ENST00000325425.12	ENSG00000162572.21	SCNN1D	TRUE
ENST00000379031.10	ENSG00000169972.12	PUSL1	TRUE
ENST00000343938.9	ENSG00000224051.7	CPTP	TRUE
ENST00000339381.6	ENSG00000169962.5	TAS1R3	TRUE
ENST00000378821.3	ENSG00000205116.3	TMEM88B	FALSE
ENST00000495558.1	ENSG00000179403.12	VWA1	FALSE
ENST00000338660.5	ENSG00000179403.12	VWA1	TRUE
ENST00000476993.2	ENSG00000179403.12	VWA1	TRUE
ENST00000471398.1	ENSG00000179403.12	VWA1	FALSE
ENST00000378785.7	ENSG00000215915.10	ATAD3C	TRUE
ENST00000673477.1	ENSG00000160072.20	ATAD3B	TRUE
ENST00000308647.8	ENSG00000160072.20	ATAD3B	TRUE
ENST00000378756.8	ENSG00000197785.14	ATAD3A	TRUE
ENST00000378755.9	ENSG00000197785.14	ATAD3A	TRUE
ENST00000536055.6	ENSG00000197785.14	ATAD3A	TRUE
ENST00000520777.5	ENSG00000197530.12	MIB2	TRUE
ENST00000355826.9	ENSG00000197530.12	MIB2	TRUE
ENST00000518681.5	ENSG00000197530.12	MIB2	TRUE
ENST00000505820.6	ENSG00000197530.12	MIB2	FALSE
ENST00000489635.5	ENSG00000197530.12	MIB2	TRUE
ENST00000514363.1	ENSG00000197530.12	MIB2	TRUE
ENST00000487053.5	ENSG00000197530.12	MIB2	TRUE
ENST00000502470.5	ENSG00000197530.12	MIB2	TRUE
ENST00000378712.5	ENSG00000197530.12	MIB2	TRUE
ENST00000504599.5	ENSG00000197530.12	MIB2	TRUE
ENST00000378708.5	ENSG00000197530.12	MIB2	TRUE
ENST00000506488.5	ENSG00000197530.12	MIB2	TRUE
ENST00000486072.1	ENSG00000197530.12	MIB2	FALSE
ENST00000483015.1	ENSG00000197530.12	MIB2	FALSE
ENST00000356026.10	ENSG00000189409.14	MMP23B	TRUE
ENST00000512731.5	ENSG00000189409.14	MMP23B	TRUE
ENST00000378675.7	ENSG00000189409.14	MMP23B	TRUE
ENST00000479814.5	ENSG00000189409.14	MMP23B	FALSE
ENST00000503792.1	ENSG00000189409.14	MMP23B	FALSE
ENST00000490017.1	ENSG00000189409.14	MMP23B	FALSE
ENST00000378604.3	ENSG00000169885.10	CALML6	TRUE
ENST00000307786.8	ENSG00000169885.10	CALML6	TRUE
ENST00000378585.7	ENSG00000187730.9	GABRD	TRUE
ENST00000639045.1	ENSG00000187730.9	GABRD	TRUE
ENST00000640067.1	ENSG00000187730.9	GABRD	TRUE
ENST00000638771.1	ENSG00000187730.9	GABRD	TRUE
ENST00000640949.1	ENSG00000187730.9	GABRD	TRUE
ENST00000640030.1	ENSG00000187730.9	GABRD	FALSE
ENST00000640981.1	ENSG00000187730.9	GABRD	FALSE
ENST00000638763.1	ENSG00000187730.9	GABRD	FALSE
ENST00000638804.1	ENSG00000187730.9	GABRD	FALSE
ENST00000378567.8	ENSG00000067606.17	PRKCZ	TRUE
ENST00000400921.6	ENSG00000067606.17	PRKCZ	TRUE
ENST00000495347.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000461106.6	ENSG00000067606.17	PRKCZ	TRUE
ENST00000470596.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000481140.5	ENSG00000067606.17	PRKCZ	TRUE
ENST00000482686.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000486681.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000470986.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000470511.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000471018.6	ENSG00000067606.17	PRKCZ	FALSE
ENST00000466352.5	ENSG00000067606.17	PRKCZ	FALSE
ENST00000478770.6	ENSG00000067606.17	PRKCZ	TRUE
ENST00000378536.5	ENSG00000157933.10	SKI	TRUE
ENST00000378513.7	ENSG00000157916.20	RER1	TRUE
ENST00000306256.13	ENSG00000157916.20	RER1	FALSE
ENST00000378512.5	ENSG00000157916.20	RER1	TRUE
ENST00000488353.2	ENSG00000157916.20	RER1	TRUE
ENST00000609981.5	ENSG00000149527.18	PLCH2	FALSE
ENST00000449969.5	ENSG00000149527.18	PLCH2	TRUE
ENST00000378486.8	ENSG00000149527.18	PLCH2	TRUE
ENST00000419816.6	ENSG00000149527.18	PLCH2	TRUE
ENST00000409119.5	ENSG00000157873.17	TNFRSF14	TRUE
ENST00000355716.4	ENSG00000157873.17	TNFRSF14	TRUE
ENST00000378425.9	ENSG00000157870.17	PRXL2B	TRUE
ENST00000444521.6	ENSG00000157870.17	PRXL2B	TRUE
ENST00000419916.8	ENSG00000157870.17	PRXL2B	TRUE
ENST00000378424.9	ENSG00000157870.17	PRXL2B	TRUE
ENST00000537325.6	ENSG00000157870.17	PRXL2B	TRUE
ENST00000378427.6	ENSG00000157870.17	PRXL2B	TRUE
ENST00000378404.4	ENSG00000169717.7	ACTRT2	TRUE
ENST00000511072.5	ENSG00000142611.17	PRDM16	TRUE
ENST00000378391.6	ENSG00000142611.17	PRDM16	TRUE
ENST00000270722.10	ENSG00000142611.17	PRDM16	TRUE
ENST00000514189.5	ENSG00000142611.17	PRDM16	TRUE
ENST00000463591.1	ENSG00000142611.17	PRDM16	FALSE
ENST00000509860.1	ENSG00000142611.17	PRDM16	FALSE
ENST00000378378.9	ENSG00000130762.15	ARHGEF16	TRUE
ENST00000378371.6	ENSG00000130762.15	ARHGEF16	TRUE
ENST00000378344.7	ENSG00000158109.15	TPRG1L	TRUE
ENST00000344579.5	ENSG00000158109.15	TPRG1L	TRUE
ENST00000378295.9	ENSG00000078900.15	TP73	TRUE
ENST00000604074.5	ENSG00000078900.15	TP73	TRUE
ENST00000354437.8	ENSG00000078900.15	TP73	TRUE
ENST00000346387.8	ENSG00000078900.15	TP73	TRUE
ENST00000357733.7	ENSG00000078900.15	TP73	TRUE
ENST00000378280.5	ENSG00000078900.15	TP73	TRUE
ENST00000378285.5	ENSG00000078900.15	TP73	TRUE
ENST00000378288.8	ENSG00000078900.15	TP73	TRUE
ENST00000378290.4	ENSG00000078900.15	TP73	FALSE
ENST00000462521.2	ENSG00000162592.10	CCDC27	TRUE
ENST00000294600.7	ENSG00000162592.10	CCDC27	TRUE
ENST00000561886.2	ENSG00000235169.11	SMIM1	TRUE
ENST00000444870.7	ENSG00000235169.11	SMIM1	TRUE
ENST00000338895.7	ENSG00000169598.17	DFFB	TRUE
ENST00000491998.5	ENSG00000169598.17	DFFB	TRUE
ENST00000468793.5	ENSG00000169598.17	DFFB	TRUE
ENST00000339350.7	ENSG00000169598.17	DFFB	TRUE
ENST00000477548.5	ENSG00000169598.17	DFFB	TRUE
ENST00000378209.8	ENSG00000169598.17	DFFB	TRUE
ENST00000378206.5	ENSG00000169598.17	DFFB	TRUE
ENST00000378191.5	ENSG00000196581.11	AJAP1	TRUE
ENST00000378097.6	ENSG00000069424.15	KCNAB2	TRUE
ENST00000658691.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000658883.1	ENSG00000069424.15	KCNAB2	FALSE
ENST00000653262.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000341524.6	ENSG00000069424.15	KCNAB2	TRUE
ENST00000462676.3	ENSG00000069424.15	KCNAB2	TRUE
ENST00000352527.6	ENSG00000069424.15	KCNAB2	TRUE
ENST00000663169.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000656198.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000656746.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000666299.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000652845.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000655703.1	ENSG00000069424.15	KCNAB2	FALSE
ENST00000668559.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000472700.7	ENSG00000069424.15	KCNAB2	TRUE
ENST00000378083.7	ENSG00000069424.15	KCNAB2	TRUE
ENST00000458166.6	ENSG00000069424.15	KCNAB2	TRUE
ENST00000662363.1	ENSG00000069424.15	KCNAB2	TRUE
ENST00000671076.1	ENSG00000069424.15	KCNAB2	FALSE
ENST00000377939.5	ENSG00000158286.13	RNF207	TRUE
ENST00000377898.4	ENSG00000173673.8	HES3	TRUE
ENST00000645284.1	ENSG00000187017.17	ESPN	TRUE
ENST00000636330.1	ENSG00000187017.17	ESPN	TRUE
ENST00000416731.5	ENSG00000187017.17	ESPN	TRUE
ENST00000461727.6	ENSG00000187017.17	ESPN	TRUE
ENST00000478323.1	ENSG00000187017.17	ESPN	FALSE
ENST00000633239.1	ENSG00000187017.17	ESPN	FALSE
ENST00000475479.2	ENSG00000187017.17	ESPN	FALSE
ENST00000333172.11	ENSG00000173662.21	TAS1R1	TRUE
ENST00000351136.7	ENSG00000173662.21	TAS1R1	TRUE
ENST00000377674.9	ENSG00000204859.13	ZBTB48	TRUE
ENST00000488936.1	ENSG00000204859.13	ZBTB48	FALSE
ENST00000466813.1	ENSG00000204859.13	ZBTB48	FALSE
